id,name
862,Venezuela (Bolivarian Republic of)
882,Samoa
887,Yemen
894,Zambia
9,Oceania
15,Northern Africa
30,Eastern Asia
34,Southern Asia
35,South-Eastern Asia
62,Central and Southern Asia
116,Cambodia
143,Central Asia
145,Western Asia
199,Least Developed Countries (LDCs)
202,Sub-Saharan Africa
419,Latin America and the Caribbean
432,Landlocked developing countries (LLDCs)
543,Oceania (exc. Australia and New Zealand)
608,Philippines
688,Serbia
722,Small island developing States (SIDS)
747,Northern Africa and Western Asia
753,Eastern and South-Eastern Asia
4,Afghanistan
226,Equatorial Guinea
585,Palau
616,Poland
5,South America
11,Western Africa
13,Central America
14,Eastern Africa
17,Middle Africa
18,Southern Africa
21,Northern America
29,Caribbean
39,Southern Europe
53,Australia and New Zealand
54,Melanesia
61,Polynesia
142,Asia
150,Europe
151,Eastern Europe
154,Northern Europe
155,Western Europe
513,Europe and Northern America
554,New Zealand
28,Antigua and Barbuda
60,Bermuda
634,Qatar
660,Anguilla
84,Belize
438,Liechtenstein
533,Aruba
44,Bahamas
48,Bahrain
52,Barbados
96,Brunei Darussalam
212,Dominica
308,Grenada
328,Guyana
344,"China, Hong Kong Special Administrative Region"
414,Kuwait
434,Libya
446,"China, Macao Special Administrative Region"
512,Oman
520,Nauru
584,Marshall Islands
659,Saint Kitts and Nevis
662,Saint Lucia
670,Saint Vincent and the Grenadines
780,Trinidad and Tobago
20,Andorra
158,Other non-specified areas
540,New Caledonia
833,Isle of Man
92,British Virgin Islands
192,Cuba
570,Niue
784,United Arab Emirates
706,Somalia
16,American Samoa
184,Cook Islands
258,French Polynesia
316,Guam
580,Northern Mariana Islands
772,Tokelau
876,Wallis and Futuna Islands
2,Africa
19,Americas
57,Micronesia
86,British Indian Ocean Territory
127,Southern Asia (excluding India)
135,Caucasus and Central Asia
136,Cayman Islands
162,Christmas Island
166,Cocos (Keeling) Islands
175,Mayotte
223,Eastern Asia (excluding Japan and China)
232,Eritrea
234,Faroe Islands
238,Falkland Islands (Malvinas)
239,South Georgia and the South Sandwich Islands
248,Åland Islands
254,French Guiana
260,French Southern Territories
292,Gibraltar
304,Greenland
312,Guadeloupe
334,Heard Island and McDonald Islands
336,Holy See
408,Democratic People's Republic of Korea
474,Martinique
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)"
492,Monaco
500,Montserrat
514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)"
515,Developing regions
518,Eastern Asia (excluding Japan)
531,Curaçao
534,Sint Maarten (Dutch part)
535,"Bonaire, Sint Eustatius and Saba"
574,Norfolk Island
581,United States Minor Outlying Islands
612,Pitcairn
630,Puerto Rico
638,Réunion
652,Saint Barthélemy
654,Saint Helena
663,Saint Martin (French Part)
666,Saint Pierre and Miquelon
674,San Marino
682,Saudi Arabia
702,Singapore
732,Western Sahara
738,Sub-Saharan Africa (inc. Sudan)
740,Suriname
744,Svalbard and Jan Mayen Islands
746,Northern Africa (exc. Sudan)
795,Turkmenistan
796,Turks and Caicos Islands
830,Channel Islands
831,Guernsey
832,Jersey
850,United States Virgin Islands
917,International Centers (FAO)
919,Regional Centres (FAO)
530,Netherlands Antilles
891,Serbia and Montenegro [former]
736,Sudan [former]
97,European Union
74,Bouvet Island
369,Iraq (Central Iraq)
370,Iraq (Kurdistan Region)
827,United Kingdom (England and Wales)
828,United Kingdom (Northern Ireland)
829,United Kingdom (Scotland)
918,European Union (EU) Institutions
