id,name,unit,dataset_id
77,1.5.1 - Number of people affected by disaster (number) - VC_DSR_AFFCT,Number,24
78,"1.5.1 - Number of directly affected persons attributed to disasters per 100,000 population (number) - VC_DSR_DAFF","Per 100,000 population",25
79,1.5.1 - Number of injured or ill people attributed to disasters (number) - VC_DSR_IJILN,Number,26
80,1.5.1 - Number of missing persons due to disaster (number) - VC_DSR_MISS,Number,27
81,1.5.1 - Number of deaths and missing persons attributed to disasters (number) - VC_DSR_MMHN,Number,28
82,1.5.1 - Number of deaths due to disaster (number) - VC_DSR_MORT,Number,29
83,"1.5.1 - Number of deaths and missing persons attributed to disasters per 100,000 population (number) - VC_DSR_MTMP","Per 100,000 population",30
84,1.5.1 - Number of people whose damaged dwellings were attributed to disasters (number) - VC_DSR_PDAN,Number,31
85,"1.5.1 - Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number) - VC_DSR_PDLN",Number,32
86,1.5.1 - Number of people whose destroyed dwellings were attributed to disasters (number) - VC_DSR_PDYN,Number,33
87,1.5.2 - Direct agriculture loss attributed to disasters (current United States dollars) - VC_DSR_AGLH,USD,34
88,1.5.2 - Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars) - VC_DSR_CHLN,Millions of current United States dollars,35
89,1.5.2 - Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars) - VC_DSR_CILN,USD,36
90,1.5.2 - Direct economic loss to other damaged or destroyed productive assets attributed to disasters (current United States dollars) - VC_DSR_DDPA,USD,37
91,1.5.2 - Direct economic loss attributed to disasters (current United States dollars) - VC_DSR_GDPLS,USD,38
92,1.5.2 - Direct economic loss in the housing sector attributed to disasters (current United States dollars) - VC_DSR_HOLH,USD,39
93,1.5.2 - Direct economic loss attributed to disasters relative to GDP (%) - VC_DSR_LSGP,Percentage,40
94,1.5.3 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR,Index,41
95,1.5.3 - Number of countries that reported having a National DRR Strategy which is aligned to the Sendai Framework - SG_DSR_SFDRR,Number,42
96,1.5.4 - Number of local governments that adopt and implement local DRR strategies in line with national strategies (number) - SG_DSR_SILN,Number,43
97,1.5.4 - Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%) - SG_DSR_SILS,Percentage,44
98,1.5.4 - Number of local governments (number) - SG_GOV_LOGV,Number,45
99,"1.a.1 - Official development assistance grants for poverty reduction, by donor countries (percentage of GNI) - DC_ODA_POVDLG",Percentage,46
100,1.a.1 - Official development assistance grants for poverty reduction (percentage of GNI) - DC_ODA_POVG,Percentage,47
101,"1.a.1 - Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI) - DC_ODA_POVLG",Percentage,48
102,"1.a.2 - Proportion of total government spending on essential services, education (%) - SD_XPD_ESED",Percentage,49
103,10.1.1 - Growth rates of household expenditure or income per capita (%) - SI_HEI_TOTL - B40,Percentage,50
104,10.1.1 - Growth rates of household expenditure or income per capita (%) - SI_HEI_TOTL - _T,Percentage,50
105,10.2.1 - Proportion of people living below 50 percent of median income (%) - SI_POV_50MI,Percentage,51
106,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - OTHER - FEMALE",Percentage,52
107,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - OTHER - BOTHSEX",Percentage,52
108,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - OTHER - MALE",Percentage,52
109,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEXO - FEMALE",Percentage,52
110,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEXO - BOTHSEX",Percentage,52
111,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEXO - MALE",Percentage,52
112,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RELIGION - FEMALE",Percentage,52
113,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RELIGION - BOTHSEX",Percentage,52
114,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RELIGION - MALE",Percentage,52
115,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - DISHEA - FEMALE",Percentage,52
116,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - DISHEA - BOTHSEX",Percentage,52
117,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - DISHEA - MALE",Percentage,52
118,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - AGE - FEMALE",Percentage,52
119,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - AGE - BOTHSEX",Percentage,52
120,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - AGE - MALE",Percentage,52
121,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETHCOLLAN - FEMALE",Percentage,52
122,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETHCOLLAN - BOTHSEX",Percentage,52
123,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETHCOLLAN - MALE",Percentage,52
124,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEX - FEMALE",Percentage,52
125,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEX - BOTHSEX",Percentage,52
126,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEX - MALE",Percentage,52
127,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ALL - FEMALE",Percentage,52
128,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ALL - BOTHSEX",Percentage,52
129,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ALL - MALE",Percentage,52
130,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SOCIOECON - FEMALE",Percentage,52
131,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SOCIOECON - BOTHSEX",Percentage,52
132,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SOCIOECON - MALE",Percentage,52
133,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MIG - FEMALE",Percentage,52
134,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MIG - BOTHSEX",Percentage,52
135,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MIG - MALE",Percentage,52
136,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - GEO - FEMALE",Percentage,52
137,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - GEO - BOTHSEX",Percentage,52
138,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - GEO - MALE",Percentage,52
139,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEXOGENID - FEMALE",Percentage,52
140,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEXOGENID - BOTHSEX",Percentage,52
141,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - SEXOGENID - MALE",Percentage,52
142,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - POLVIEW - FEMALE",Percentage,52
143,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - POLVIEW - BOTHSEX",Percentage,52
144,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - POLVIEW - MALE",Percentage,52
145,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MARFAM - FEMALE",Percentage,52
146,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MARFAM - BOTHSEX",Percentage,52
147,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MARFAM - MALE",Percentage,52
148,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - EDU - FEMALE",Percentage,52
149,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - EDU - BOTHSEX",Percentage,52
150,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - EDU - MALE",Percentage,52
151,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MAR - FEMALE",Percentage,52
152,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MAR - BOTHSEX",Percentage,52
153,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - MAR - MALE",Percentage,52
154,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - FAM - FEMALE",Percentage,52
155,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - FAM - BOTHSEX",Percentage,52
156,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - FAM - MALE",Percentage,52
157,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETHCOLLANNAL - FEMALE",Percentage,52
158,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETHCOLLANNAL - BOTHSEX",Percentage,52
159,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETHCOLLANNAL - MALE",Percentage,52
160,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RES - FEMALE",Percentage,52
161,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RES - BOTHSEX",Percentage,52
162,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RES - MALE",Percentage,52
163,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - GENID - FEMALE",Percentage,52
164,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - GENID - BOTHSEX",Percentage,52
165,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - GENID - MALE",Percentage,52
166,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETH - FEMALE",Percentage,52
167,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETH - BOTHSEX",Percentage,52
168,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - ETH - MALE",Percentage,52
169,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - LANDIA - FEMALE",Percentage,52
170,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - LANDIA - BOTHSEX",Percentage,52
171,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - LANDIA - MALE",Percentage,52
172,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RACE - FEMALE",Percentage,52
173,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RACE - BOTHSEX",Percentage,52
174,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - RACE - MALE",Percentage,52
175,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - WEALTH - FEMALE",Percentage,52
176,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - WEALTH - BOTHSEX",Percentage,52
177,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - WEALTH - MALE",Percentage,52
178,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - WEDLOCK - FEMALE",Percentage,52
179,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - WEDLOCK - BOTHSEX",Percentage,52
180,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - WEDLOCK - MALE",Percentage,52
181,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - PREGY - FEMALE",Percentage,52
182,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - PREGY - BOTHSEX",Percentage,52
183,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - _T - PREGY - MALE",Percentage,52
184,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - OTHER - FEMALE",Percentage,52
185,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - OTHER - BOTHSEX",Percentage,52
186,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - OTHER - MALE",Percentage,52
187,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - SEXO - FEMALE",Percentage,52
188,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - SEXO - BOTHSEX",Percentage,52
189,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - SEXO - MALE",Percentage,52
190,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - RELIGION - FEMALE",Percentage,52
191,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - RELIGION - BOTHSEX",Percentage,52
192,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - RELIGION - MALE",Percentage,52
193,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - DISHEA - FEMALE",Percentage,52
194,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - DISHEA - BOTHSEX",Percentage,52
195,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - DISHEA - MALE",Percentage,52
196,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - AGE - FEMALE",Percentage,52
197,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - AGE - BOTHSEX",Percentage,52
198,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - AGE - MALE",Percentage,52
199,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - ETHCOLLAN - FEMALE",Percentage,52
200,"10.3.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - PWD - ETHCOLLAN - BOTHSEX",Percentage,52
